edge_id,product_id,cost_type,basis,rate,fixed_amount,currency
Foxconn_CN->SP_iPhone16,iPhone16,logistics_cost,per_lot,0.0,10000,USD
Foxconn_CN_i15->SP_iPhone15,iPhone15,logistics_cost,per_lot,0.0,9000,USD
Foxconn_CN_i17->SP_iPhone17,iPhone17,logistics_cost,per_lot,0.0,12000,USD
SP_iPhone16->Retail_AMER,iPhone16,logistics_cost,per_lot,0.0,170000,USD
SP_iPhone16->Retail_EMEA,iPhone16,logistics_cost,per_lot,0.0,197000,USD
SP_iPhone16->Retail_APAC,iPhone16,logistics_cost,per_lot,0.0,143000,USD
SP_iPhone15->Retail_AMER_i15,iPhone15,logistics_cost,per_lot,0.0,161000,USD
SP_iPhone15->Retail_EMEA_i15,iPhone15,logistics_cost,per_lot,0.0,182000,USD
SP_iPhone15->Retail_APAC_i15,iPhone15,logistics_cost,per_lot,0.0,133000,USD
SP_iPhone17->Retail_AMER_i17,iPhone17,logistics_cost,per_lot,0.0,179000,USD
SP_iPhone17->Retail_EMEA_i17,iPhone17,logistics_cost,per_lot,0.0,208000,USD
SP_iPhone17->Retail_APAC_i17,iPhone17,logistics_cost,per_lot,0.0,153000,USD
