sku_id,node_name,week,max_supply,source
Soy_Sauce,Bottling_Noda,2026-W28,800,warmup
Soy_Sauce,Brewing_Noda,2026-W28,800,warmup
Soy_Sauce,Materials_JP,2026-W28,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W29,800,warmup
Soy_Sauce,Brewing_Noda,2026-W29,800,warmup
Soy_Sauce,Materials_JP,2026-W29,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W30,800,warmup
Soy_Sauce,Brewing_Noda,2026-W30,800,warmup
Soy_Sauce,Materials_JP,2026-W30,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W31,800,warmup
Soy_Sauce,Brewing_Noda,2026-W31,800,warmup
Soy_Sauce,Materials_JP,2026-W31,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W32,800,warmup
Soy_Sauce,Brewing_Noda,2026-W32,800,warmup
Soy_Sauce,Materials_JP,2026-W32,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W33,800,warmup
Soy_Sauce,Brewing_Noda,2026-W33,800,warmup
Soy_Sauce,Materials_JP,2026-W33,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W34,800,warmup
Soy_Sauce,Brewing_Noda,2026-W34,800,warmup
Soy_Sauce,Materials_JP,2026-W34,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W35,800,warmup
Soy_Sauce,Brewing_Noda,2026-W35,800,warmup
Soy_Sauce,Materials_JP,2026-W35,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W36,800,warmup
Soy_Sauce,Brewing_Noda,2026-W36,800,warmup
Soy_Sauce,Materials_JP,2026-W36,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W37,800,warmup
Soy_Sauce,Brewing_Noda,2026-W37,800,warmup
Soy_Sauce,Materials_JP,2026-W37,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W38,800,warmup
Soy_Sauce,Brewing_Noda,2026-W38,800,warmup
Soy_Sauce,Materials_JP,2026-W38,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W39,800,warmup
Soy_Sauce,Brewing_Noda,2026-W39,800,warmup
Soy_Sauce,Materials_JP,2026-W39,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W40,800,warmup
Soy_Sauce,Brewing_Noda,2026-W40,800,warmup
Soy_Sauce,Materials_JP,2026-W40,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W41,800,warmup
Soy_Sauce,Brewing_Noda,2026-W41,800,warmup
Soy_Sauce,Materials_JP,2026-W41,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W42,800,warmup
Soy_Sauce,Brewing_Noda,2026-W42,800,warmup
Soy_Sauce,Materials_JP,2026-W42,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W43,800,warmup
Soy_Sauce,Brewing_Noda,2026-W43,800,warmup
Soy_Sauce,Materials_JP,2026-W43,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W44,800,warmup
Soy_Sauce,Brewing_Noda,2026-W44,800,warmup
Soy_Sauce,Materials_JP,2026-W44,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W45,800,warmup
Soy_Sauce,Brewing_Noda,2026-W45,800,warmup
Soy_Sauce,Materials_JP,2026-W45,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W46,800,warmup
Soy_Sauce,Brewing_Noda,2026-W46,800,warmup
Soy_Sauce,Materials_JP,2026-W46,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W47,800,warmup
Soy_Sauce,Brewing_Noda,2026-W47,800,warmup
Soy_Sauce,Materials_JP,2026-W47,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W48,800,warmup
Soy_Sauce,Brewing_Noda,2026-W48,800,warmup
Soy_Sauce,Materials_JP,2026-W48,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W49,800,warmup
Soy_Sauce,Brewing_Noda,2026-W49,800,warmup
Soy_Sauce,Materials_JP,2026-W49,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W50,800,warmup
Soy_Sauce,Brewing_Noda,2026-W50,800,warmup
Soy_Sauce,Materials_JP,2026-W50,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W51,800,warmup
Soy_Sauce,Brewing_Noda,2026-W51,800,warmup
Soy_Sauce,Materials_JP,2026-W51,50000,warmup
Soy_Sauce,Bottling_Noda,2026-W52,800,warmup
Soy_Sauce,Brewing_Noda,2026-W52,800,warmup
Soy_Sauce,Materials_JP,2026-W52,50000,warmup
