sku_id,region,week,quantity
EVmaker_Import,BKK,2025-W38,0
EVmaker_Import,ONL,2025-W38,0
EVmaker_Import,PRO,2025-W38,0
EVmaker_Local,BKK,2025-W38,0
EVmaker_Local,ONL,2025-W38,0
EVmaker_Local,PRO,2025-W38,0
EVmaker_Import,BKK,2025-W39,0
EVmaker_Import,ONL,2025-W39,0
EVmaker_Import,PRO,2025-W39,0
EVmaker_Local,BKK,2025-W39,0
EVmaker_Local,ONL,2025-W39,0
EVmaker_Local,PRO,2025-W39,0
EVmaker_Import,BKK,2025-W40,0
EVmaker_Import,ONL,2025-W40,0
EVmaker_Import,PRO,2025-W40,0
EVmaker_Local,BKK,2025-W40,0
EVmaker_Local,ONL,2025-W40,0
EVmaker_Local,PRO,2025-W40,0
EVmaker_Import,BKK,2025-W41,0
EVmaker_Import,ONL,2025-W41,0
EVmaker_Import,PRO,2025-W41,0
EVmaker_Local,BKK,2025-W41,0
EVmaker_Local,ONL,2025-W41,0
EVmaker_Local,PRO,2025-W41,0
EVmaker_Import,BKK,2025-W42,0
EVmaker_Import,ONL,2025-W42,0
EVmaker_Import,PRO,2025-W42,0
EVmaker_Local,BKK,2025-W42,0
EVmaker_Local,ONL,2025-W42,0
EVmaker_Local,PRO,2025-W42,0
EVmaker_Import,BKK,2025-W43,0
EVmaker_Import,ONL,2025-W43,0
EVmaker_Import,PRO,2025-W43,0
EVmaker_Local,BKK,2025-W43,0
EVmaker_Local,ONL,2025-W43,0
EVmaker_Local,PRO,2025-W43,0
EVmaker_Import,BKK,2025-W44,0
EVmaker_Import,ONL,2025-W44,0
EVmaker_Import,PRO,2025-W44,0
EVmaker_Local,BKK,2025-W44,0
EVmaker_Local,ONL,2025-W44,0
EVmaker_Local,PRO,2025-W44,0
EVmaker_Import,BKK,2025-W45,0
EVmaker_Import,ONL,2025-W45,0
EVmaker_Import,PRO,2025-W45,0
EVmaker_Local,BKK,2025-W45,0
EVmaker_Local,ONL,2025-W45,0
EVmaker_Local,PRO,2025-W45,0
EVmaker_Import,BKK,2025-W46,0
EVmaker_Import,ONL,2025-W46,0
EVmaker_Import,PRO,2025-W46,0
EVmaker_Local,BKK,2025-W46,0
EVmaker_Local,ONL,2025-W46,0
EVmaker_Local,PRO,2025-W46,0
EVmaker_Import,BKK,2025-W47,0
EVmaker_Import,ONL,2025-W47,0
EVmaker_Import,PRO,2025-W47,0
EVmaker_Local,BKK,2025-W47,0
EVmaker_Local,ONL,2025-W47,0
EVmaker_Local,PRO,2025-W47,0
EVmaker_Import,BKK,2025-W48,0
EVmaker_Import,ONL,2025-W48,0
EVmaker_Import,PRO,2025-W48,0
EVmaker_Local,BKK,2025-W48,0
EVmaker_Local,ONL,2025-W48,0
EVmaker_Local,PRO,2025-W48,0
EVmaker_Import,BKK,2025-W49,0
EVmaker_Import,ONL,2025-W49,0
EVmaker_Import,PRO,2025-W49,0
EVmaker_Local,BKK,2025-W49,0
EVmaker_Local,ONL,2025-W49,0
EVmaker_Local,PRO,2025-W49,0
EVmaker_Import,BKK,2025-W50,0
EVmaker_Import,ONL,2025-W50,0
EVmaker_Import,PRO,2025-W50,0
EVmaker_Local,BKK,2025-W50,0
EVmaker_Local,ONL,2025-W50,0
EVmaker_Local,PRO,2025-W50,0
EVmaker_Import,BKK,2025-W51,0
EVmaker_Import,ONL,2025-W51,0
EVmaker_Import,PRO,2025-W51,0
EVmaker_Local,BKK,2025-W51,0
