sku_id,region,on_hand_qty,on_order_qty,week
Apparel_Import_S1,TX,480,240,2026-W01
Apparel_Import_S1,CA,440,220,2026-W01
Apparel_Import_S1,NY,360,180,2026-W01
Apparel_Import_S2,TX,0,0,2026-W01
Apparel_Import_S2,CA,0,0,2026-W01
Apparel_Import_S2,NY,0,0,2026-W01
Apparel_Import_S3,TX,0,0,2026-W01
Apparel_Import_S3,CA,0,0,2026-W01
Apparel_Import_S3,NY,0,0,2026-W01
Apparel_Import_S4,TX,0,0,2026-W01
Apparel_Import_S4,CA,0,0,2026-W01
Apparel_Import_S4,NY,0,0,2026-W01
Apparel_Import_S5,TX,0,0,2026-W01
Apparel_Import_S5,CA,0,0,2026-W01
Apparel_Import_S5,NY,0,0,2026-W01
Apparel_Import_S6,TX,0,0,2026-W01
Apparel_Import_S6,CA,0,0,2026-W01
Apparel_Import_S6,NY,0,0,2026-W01
Apparel_Import_S7,TX,0,0,2026-W01
Apparel_Import_S7,CA,0,0,2026-W01
Apparel_Import_S7,NY,0,0,2026-W01
Apparel_Import_S8,TX,0,0,2026-W01
Apparel_Import_S8,CA,0,0,2026-W01
Apparel_Import_S8,NY,0,0,2026-W01
Apparel_Local_S1,TX,480,240,2026-W01
Apparel_Local_S1,CA,440,220,2026-W01
Apparel_Local_S1,NY,360,180,2026-W01
Apparel_Local_S2,TX,0,0,2026-W01
Apparel_Local_S2,CA,0,0,2026-W01
Apparel_Local_S2,NY,0,0,2026-W01
Apparel_Local_S3,TX,0,0,2026-W01
Apparel_Local_S3,CA,0,0,2026-W01
Apparel_Local_S3,NY,0,0,2026-W01
Apparel_Local_S4,TX,0,0,2026-W01
Apparel_Local_S4,CA,0,0,2026-W01
Apparel_Local_S4,NY,0,0,2026-W01
Apparel_Local_S5,TX,0,0,2026-W01
Apparel_Local_S5,CA,0,0,2026-W01
Apparel_Local_S5,NY,0,0,2026-W01
Apparel_Local_S6,TX,0,0,2026-W01
Apparel_Local_S6,CA,0,0,2026-W01
Apparel_Local_S6,NY,0,0,2026-W01
Apparel_Local_S7,TX,0,0,2026-W01
Apparel_Local_S7,CA,0,0,2026-W01
Apparel_Local_S7,NY,0,0,2026-W01
Apparel_Local_S8,TX,0,0,2026-W01
Apparel_Local_S8,CA,0,0,2026-W01
Apparel_Local_S8,NY,0,0,2026-W01
