market_node,product_id,week,market_price,currency
Sales_US_TX_I,Apparel_Import_S1,2026-W01,49.0,USD
Sales_US_CA_I,Apparel_Import_S1,2026-W01,49.0,USD
Sales_US_NY_I,Apparel_Import_S1,2026-W01,49.0,USD
Sales_US_TX_I,Apparel_Import_S2,2026-W01,49.0,USD
Sales_US_CA_I,Apparel_Import_S2,2026-W01,49.0,USD
Sales_US_NY_I,Apparel_Import_S2,2026-W01,49.0,USD
Sales_US_TX_I,Apparel_Import_S3,2026-W01,49.0,USD
Sales_US_CA_I,Apparel_Import_S3,2026-W01,49.0,USD
Sales_US_NY_I,Apparel_Import_S3,2026-W01,49.0,USD
Sales_US_TX_I,Apparel_Import_S4,2026-W01,49.0,USD
Sales_US_CA_I,Apparel_Import_S4,2026-W01,49.0,USD
Sales_US_NY_I,Apparel_Import_S4,2026-W01,49.0,USD
Sales_US_TX_I,Apparel_Import_S5,2026-W01,49.0,USD
Sales_US_CA_I,Apparel_Import_S5,2026-W01,49.0,USD
Sales_US_NY_I,Apparel_Import_S5,2026-W01,49.0,USD
Sales_US_TX_I,Apparel_Import_S6,2026-W01,49.0,USD
Sales_US_CA_I,Apparel_Import_S6,2026-W01,49.0,USD
Sales_US_NY_I,Apparel_Import_S6,2026-W01,49.0,USD
Sales_US_TX_I,Apparel_Import_S7,2026-W01,49.0,USD
Sales_US_CA_I,Apparel_Import_S7,2026-W01,49.0,USD
Sales_US_NY_I,Apparel_Import_S7,2026-W01,49.0,USD
Sales_US_TX_I,Apparel_Import_S8,2026-W01,49.0,USD
Sales_US_CA_I,Apparel_Import_S8,2026-W01,49.0,USD
Sales_US_NY_I,Apparel_Import_S8,2026-W01,49.0,USD
Sales_US_TX_L,Apparel_Local_S1,2026-W01,49.0,USD
Sales_US_CA_L,Apparel_Local_S1,2026-W01,49.0,USD
Sales_US_NY_L,Apparel_Local_S1,2026-W01,49.0,USD
Sales_US_TX_L,Apparel_Local_S2,2026-W01,49.0,USD
Sales_US_CA_L,Apparel_Local_S2,2026-W01,49.0,USD
Sales_US_NY_L,Apparel_Local_S2,2026-W01,49.0,USD
Sales_US_TX_L,Apparel_Local_S3,2026-W01,49.0,USD
Sales_US_CA_L,Apparel_Local_S3,2026-W01,49.0,USD
Sales_US_NY_L,Apparel_Local_S3,2026-W01,49.0,USD
Sales_US_TX_L,Apparel_Local_S4,2026-W01,49.0,USD
Sales_US_CA_L,Apparel_Local_S4,2026-W01,49.0,USD
Sales_US_NY_L,Apparel_Local_S4,2026-W01,49.0,USD
Sales_US_TX_L,Apparel_Local_S5,2026-W01,49.0,USD
Sales_US_CA_L,Apparel_Local_S5,2026-W01,49.0,USD
Sales_US_NY_L,Apparel_Local_S5,2026-W01,49.0,USD
Sales_US_TX_L,Apparel_Local_S6,2026-W01,49.0,USD
Sales_US_CA_L,Apparel_Local_S6,2026-W01,49.0,USD
Sales_US_NY_L,Apparel_Local_S6,2026-W01,49.0,USD
Sales_US_TX_L,Apparel_Local_S7,2026-W01,49.0,USD
Sales_US_CA_L,Apparel_Local_S7,2026-W01,49.0,USD
Sales_US_NY_L,Apparel_Local_S7,2026-W01,49.0,USD
Sales_US_TX_L,Apparel_Local_S8,2026-W01,49.0,USD
Sales_US_CA_L,Apparel_Local_S8,2026-W01,49.0,USD
Sales_US_NY_L,Apparel_Local_S8,2026-W01,49.0,USD
