mom_node,product_id,method,margin_rate,fixed_price,currency
Factory_Import_CN,Apparel_Import_S1,fixed,0.0,19.0,USD
Factory_Import_CN,Apparel_Import_S2,fixed,0.0,19.0,USD
Factory_Import_CN,Apparel_Import_S3,fixed,0.0,19.0,USD
Factory_Import_CN,Apparel_Import_S4,fixed,0.0,19.0,USD
Factory_Import_CN,Apparel_Import_S5,fixed,0.0,19.0,USD
Factory_Import_CN,Apparel_Import_S6,fixed,0.0,19.0,USD
Factory_Import_CN,Apparel_Import_S7,fixed,0.0,19.0,USD
Factory_Import_CN,Apparel_Import_S8,fixed,0.0,19.0,USD
Factory_Local_ES,Apparel_Local_S1,cost_plus,0.1,0.0,USD
Factory_Local_ES,Apparel_Local_S2,cost_plus,0.1,0.0,USD
Factory_Local_ES,Apparel_Local_S3,cost_plus,0.1,0.0,USD
Factory_Local_ES,Apparel_Local_S4,cost_plus,0.1,0.0,USD
Factory_Local_ES,Apparel_Local_S5,cost_plus,0.1,0.0,USD
Factory_Local_ES,Apparel_Local_S6,cost_plus,0.1,0.0,USD
Factory_Local_ES,Apparel_Local_S7,cost_plus,0.1,0.0,USD
Factory_Local_ES,Apparel_Local_S8,cost_plus,0.1,0.0,USD
