sku_id,region,src_region,dst_region,hs_code,product_type,assembly_cost_usd_per_lot
Apparel_Import_S1,TX,CN,US,6109100000,finished_goods,0
Apparel_Import_S1,CA,CN,US,6109100000,finished_goods,0
Apparel_Import_S1,NY,CN,US,6109100000,finished_goods,0
Apparel_Import_S2,TX,CN,US,6109100000,finished_goods,0
Apparel_Import_S2,CA,CN,US,6109100000,finished_goods,0
Apparel_Import_S2,NY,CN,US,6109100000,finished_goods,0
Apparel_Import_S3,TX,CN,US,6109100000,finished_goods,0
Apparel_Import_S3,CA,CN,US,6109100000,finished_goods,0
Apparel_Import_S3,NY,CN,US,6109100000,finished_goods,0
Apparel_Import_S4,TX,CN,US,6109100000,finished_goods,0
Apparel_Import_S4,CA,CN,US,6109100000,finished_goods,0
Apparel_Import_S4,NY,CN,US,6109100000,finished_goods,0
Apparel_Import_S5,TX,CN,US,6109100000,finished_goods,0
Apparel_Import_S5,CA,CN,US,6109100000,finished_goods,0
Apparel_Import_S5,NY,CN,US,6109100000,finished_goods,0
Apparel_Import_S6,TX,CN,US,6109100000,finished_goods,0
Apparel_Import_S6,CA,CN,US,6109100000,finished_goods,0
Apparel_Import_S6,NY,CN,US,6109100000,finished_goods,0
Apparel_Import_S7,TX,CN,US,6109100000,finished_goods,0
Apparel_Import_S7,CA,CN,US,6109100000,finished_goods,0
Apparel_Import_S7,NY,CN,US,6109100000,finished_goods,0
Apparel_Import_S8,TX,CN,US,6109100000,finished_goods,0
Apparel_Import_S8,CA,CN,US,6109100000,finished_goods,0
Apparel_Import_S8,NY,CN,US,6109100000,finished_goods,0
Apparel_Local_S1,TX,ES,US,6109100000,finished_goods,0
Apparel_Local_S1,CA,ES,US,6109100000,finished_goods,0
Apparel_Local_S1,NY,ES,US,6109100000,finished_goods,0
Apparel_Local_S2,TX,ES,US,6109100000,finished_goods,0
Apparel_Local_S2,CA,ES,US,6109100000,finished_goods,0
Apparel_Local_S2,NY,ES,US,6109100000,finished_goods,0
Apparel_Local_S3,TX,ES,US,6109100000,finished_goods,0
Apparel_Local_S3,CA,ES,US,6109100000,finished_goods,0
Apparel_Local_S3,NY,ES,US,6109100000,finished_goods,0
Apparel_Local_S4,TX,ES,US,6109100000,finished_goods,0
Apparel_Local_S4,CA,ES,US,6109100000,finished_goods,0
Apparel_Local_S4,NY,ES,US,6109100000,finished_goods,0
Apparel_Local_S5,TX,ES,US,6109100000,finished_goods,0
Apparel_Local_S5,CA,ES,US,6109100000,finished_goods,0
Apparel_Local_S5,NY,ES,US,6109100000,finished_goods,0
Apparel_Local_S6,TX,ES,US,6109100000,finished_goods,0
Apparel_Local_S6,CA,ES,US,6109100000,finished_goods,0
Apparel_Local_S6,NY,ES,US,6109100000,finished_goods,0
Apparel_Local_S7,TX,ES,US,6109100000,finished_goods,0
Apparel_Local_S7,CA,ES,US,6109100000,finished_goods,0
Apparel_Local_S7,NY,ES,US,6109100000,finished_goods,0
Apparel_Local_S8,TX,ES,US,6109100000,finished_goods,0
Apparel_Local_S8,CA,ES,US,6109100000,finished_goods,0
Apparel_Local_S8,NY,ES,US,6109100000,finished_goods,0
