sku_id,node_name,week,max_supply,cap_pieces,source
Ghee_Domestic,DC_Ghee_Domestic,2025-W42,900,,warmup
Ghee_Domestic,Ghee_Plant_Anand,2025-W42,1215,,warmup
Ghee_Domestic,Gujarat_Milk_Collective,2025-W42,1000,,warmup
Ghee_Export,Anand_Export_Route,2025-W42,380,,warmup
Ghee_Export,DC_Ghee_Export,2025-W42,550,,warmup
Ghee_Export,Ghee_Plant_Export,2025-W42,1215,,warmup
Ghee_Export,Mehsana_Milk_Route,2025-W42,350,,warmup
Ghee_Domestic,DC_Ghee_Domestic,2025-W43,900,,warmup
Ghee_Domestic,Ghee_Plant_Anand,2025-W43,1215,,warmup
Ghee_Domestic,Gujarat_Milk_Collective,2025-W43,1000,,warmup
Ghee_Export,Anand_Export_Route,2025-W43,380,,warmup
Ghee_Export,DC_Ghee_Export,2025-W43,550,,warmup
Ghee_Export,Ghee_Plant_Export,2025-W43,1215,,warmup
Ghee_Export,Mehsana_Milk_Route,2025-W43,350,,warmup
Ghee_Domestic,DC_Ghee_Domestic,2025-W44,900,,warmup
Ghee_Domestic,Ghee_Plant_Anand,2025-W44,1215,,warmup
Ghee_Domestic,Gujarat_Milk_Collective,2025-W44,1000,,warmup
Ghee_Export,Anand_Export_Route,2025-W44,380,,warmup
Ghee_Export,DC_Ghee_Export,2025-W44,550,,warmup
Ghee_Export,Ghee_Plant_Export,2025-W44,1215,,warmup
Ghee_Export,Mehsana_Milk_Route,2025-W44,350,,warmup
Ghee_Domestic,DC_Ghee_Domestic,2025-W45,900,,warmup
Ghee_Domestic,Ghee_Plant_Anand,2025-W45,1215,,warmup
Ghee_Domestic,Gujarat_Milk_Collective,2025-W45,1000,,warmup
Ghee_Export,Anand_Export_Route,2025-W45,380,,warmup
Ghee_Export,DC_Ghee_Export,2025-W45,550,,warmup
Ghee_Export,Ghee_Plant_Export,2025-W45,1215,,warmup
Ghee_Export,Mehsana_Milk_Route,2025-W45,350,,warmup
Ghee_Domestic,DC_Ghee_Domestic,2025-W46,900,,warmup
Ghee_Domestic,Ghee_Plant_Anand,2025-W46,1215,,warmup
Ghee_Domestic,Gujarat_Milk_Collective,2025-W46,1000,,warmup
