node_name,parent_node,product_name,node_type,side,lt_wks,cpu_size,region,ss_days,buffering_stock_flag,description,supply_role
SP_Ghee_Domestic,,Ghee_Domestic,supply_point,outbound,0,1,,0,0,Supply Point bridge OT/IN (Ghee_Domestic),
DC_Ghee_Domestic,SP_Ghee_Domestic,Ghee_Domestic,dad,outbound,1,1,IN,21,1,国内配送センター（常温長期保存バッファ）,
Retail_Mumbai,DC_Ghee_Domestic,Ghee_Domestic,leaf_out,outbound,1,1,MUM,0,0,ムンバイ小売,
Retail_Delhi,DC_Ghee_Domestic,Ghee_Domestic,leaf_out,outbound,1,1,DEL,0,0,デリー小売,
Retail_Bangalore,DC_Ghee_Domestic,Ghee_Domestic,leaf_out,outbound,2,1,BLR,0,0,バンガロール小売（遠隔）,
Ghee_Plant_Anand,,Ghee_Domestic,mom,inbound,0,1,IN,0,0,アナンド地区連合加工場（国内向け）,
Gujarat_Milk_Collective,Ghee_Plant_Anand,Ghee_Domestic,leaf_in,inbound,1,1,IN,0,0,グジャラート酪農協同組合連合（単一leaf_inに統合）,
SP_Ghee_Export,,Ghee_Export,supply_point,outbound,0,1,,0,0,Supply Point bridge OT/IN (Ghee_Export),
DC_Ghee_Export,SP_Ghee_Export,Ghee_Export,dad,outbound,2,1,IN,28,1,ムンドラ港 保税倉庫（海上輸送+通関LT吸収バッファ）,
Retail_Dubai,DC_Ghee_Export,Ghee_Export,leaf_out,outbound,1,1,DXB,0,0,ドバイ小売,
Retail_AbuDhabi,DC_Ghee_Export,Ghee_Export,leaf_out,outbound,1,1,AUH,0,0,アブダビ小売,
Retail_Sharjah,DC_Ghee_Export,Ghee_Export,leaf_out,outbound,1,1,SHJ,0,0,シャルジャ小売,
Ghee_Plant_Export,,Ghee_Export,mom,inbound,0,1,IN,0,0,輸出認証加工場（メヘサナ）,
Anand_Export_Route,Ghee_Plant_Export,Ghee_Export,leaf_in,inbound,1,1,IN,0,0,アナンド輸出向け集乳ルート,confluence
Mehsana_Milk_Route,Ghee_Plant_Export,Ghee_Export,leaf_in,inbound,1,1,IN,0,0,メヘサナ集乳ルート,confluence
