week,currency,base_currency,rate
2026-W02,USD,INR,83.0
2026-W02,AED,INR,22.6
2026-W03,USD,INR,83.0
2026-W03,AED,INR,22.6
2026-W04,USD,INR,83.0
2026-W04,AED,INR,22.6
2026-W05,USD,INR,83.0
2026-W05,AED,INR,22.6
2026-W06,USD,INR,83.0
2026-W06,AED,INR,22.6
2026-W07,USD,INR,83.0
2026-W07,AED,INR,22.6
2026-W08,USD,INR,83.0
2026-W08,AED,INR,22.6
2026-W09,USD,INR,83.0
2026-W09,AED,INR,22.6
2026-W10,USD,INR,83.0
2026-W10,AED,INR,22.6
2026-W11,USD,INR,83.0
2026-W11,AED,INR,22.6
2026-W12,USD,INR,83.0
2026-W12,AED,INR,22.6
2026-W13,USD,INR,83.0
2026-W13,AED,INR,22.6
2026-W14,USD,INR,83.0
2026-W14,AED,INR,22.6
2026-W15,USD,INR,83.0
2026-W15,AED,INR,22.6
2026-W16,USD,INR,83.0
2026-W16,AED,INR,22.6
2026-W17,USD,INR,83.0
2026-W17,AED,INR,22.6
2026-W18,USD,INR,83.0
2026-W18,AED,INR,22.6
2026-W19,USD,INR,83.0
2026-W19,AED,INR,22.6
2026-W20,USD,INR,83.0
2026-W20,AED,INR,22.6
2026-W21,USD,INR,83.0
2026-W21,AED,INR,22.6
2026-W22,USD,INR,83.0
2026-W22,AED,INR,22.6
2026-W23,USD,INR,83.0
2026-W23,AED,INR,22.6
2026-W24,USD,INR,83.0
2026-W24,AED,INR,22.6
2026-W25,USD,INR,83.0
2026-W25,AED,INR,22.6
2026-W26,USD,INR,83.0
2026-W26,AED,INR,22.6
2026-W27,USD,INR,83.0
2026-W27,AED,INR,22.6
2026-W28,USD,INR,83.0
2026-W28,AED,INR,22.6
2026-W29,USD,INR,83.0
2026-W29,AED,INR,22.6
2026-W30,USD,INR,83.0
2026-W30,AED,INR,22.6
2026-W31,USD,INR,83.0
2026-W31,AED,INR,22.6
2026-W32,USD,INR,83.0
2026-W32,AED,INR,22.6
2026-W33,USD,INR,83.0
2026-W33,AED,INR,22.6
2026-W34,USD,INR,83.0
2026-W34,AED,INR,22.6
2026-W35,USD,INR,83.0
2026-W35,AED,INR,22.6
2026-W36,USD,INR,83.0
2026-W36,AED,INR,22.6
2026-W37,USD,INR,83.0
2026-W37,AED,INR,22.6
2026-W38,USD,INR,83.0
2026-W38,AED,INR,22.6
2026-W39,USD,INR,83.0
2026-W39,AED,INR,22.6
2026-W40,USD,INR,83.0
2026-W40,AED,INR,22.6
2026-W41,USD,INR,83.0
2026-W41,AED,INR,22.6
2026-W42,USD,INR,83.0
2026-W42,AED,INR,22.6
2026-W43,USD,INR,83.0
2026-W43,AED,INR,22.6
2026-W44,USD,INR,83.0
2026-W44,AED,INR,22.6
2026-W45,USD,INR,83.0
2026-W45,AED,INR,22.6
2026-W46,USD,INR,83.0
2026-W46,AED,INR,22.6
2026-W47,USD,INR,83.0
2026-W47,AED,INR,22.6
2026-W48,USD,INR,83.0
2026-W48,AED,INR,22.6
2026-W49,USD,INR,83.0
2026-W49,AED,INR,22.6
2026-W50,USD,INR,83.0
2026-W50,AED,INR,22.6
2026-W51,USD,INR,83.0
2026-W51,AED,INR,22.6
2026-W52,USD,INR,83.0
2026-W52,AED,INR,22.6
2026-W53,USD,INR,83.0
2026-W53,AED,INR,22.6
2027-W01,USD,INR,83.0
2027-W01,AED,INR,22.6
2027-W02,USD,INR,83.0
2027-W02,AED,INR,22.6
2027-W03,USD,INR,83.0
2027-W03,AED,INR,22.6
2027-W04,USD,INR,83.0
2027-W04,AED,INR,22.6
2027-W05,USD,INR,83.0
2027-W05,AED,INR,22.6
2027-W06,USD,INR,83.0
2027-W06,AED,INR,22.6
2027-W07,USD,INR,83.0
2027-W07,AED,INR,22.6
2027-W08,USD,INR,83.0
2027-W08,AED,INR,22.6
2027-W09,USD,INR,83.0
2027-W09,AED,INR,22.6
2027-W10,USD,INR,83.0
2027-W10,AED,INR,22.6
2027-W11,USD,INR,83.0
2027-W11,AED,INR,22.6
2027-W12,USD,INR,83.0
2027-W12,AED,INR,22.6
2027-W13,USD,INR,83.0
2027-W13,AED,INR,22.6
2027-W14,USD,INR,83.0
2027-W14,AED,INR,22.6
2027-W15,USD,INR,83.0
2027-W15,AED,INR,22.6
2027-W16,USD,INR,83.0
2027-W16,AED,INR,22.6
2027-W17,USD,INR,83.0
2027-W17,AED,INR,22.6
2027-W18,USD,INR,83.0
2027-W18,AED,INR,22.6
2027-W19,USD,INR,83.0
2027-W19,AED,INR,22.6
2027-W20,USD,INR,83.0
2027-W20,AED,INR,22.6
2027-W21,USD,INR,83.0
2027-W21,AED,INR,22.6
2027-W22,USD,INR,83.0
2027-W22,AED,INR,22.6
2027-W23,USD,INR,83.0
2027-W23,AED,INR,22.6
2027-W24,USD,INR,83.0
2027-W24,AED,INR,22.6
2027-W25,USD,INR,83.0
2027-W25,AED,INR,22.6
2027-W26,USD,INR,83.0
2027-W26,AED,INR,22.6
2027-W27,USD,INR,83.0
2027-W27,AED,INR,22.6
2027-W28,USD,INR,83.0
2027-W28,AED,INR,22.6
2027-W29,USD,INR,83.0
2027-W29,AED,INR,22.6
2027-W30,USD,INR,83.0
2027-W30,AED,INR,22.6
2027-W31,USD,INR,83.0
2027-W31,AED,INR,22.6
2027-W32,USD,INR,83.0
2027-W32,AED,INR,22.6
2027-W33,USD,INR,83.0
2027-W33,AED,INR,22.6
2027-W34,USD,INR,83.0
2027-W34,AED,INR,22.6
2027-W35,USD,INR,83.0
