edge_id,product_id,cost_type,basis,rate,fixed_amount,currency
Supplier_CN->MOM_China,IPHONE,logistics_cost,qty,0.0,0,CNY
MOM_China->DAD_Japan,IPHONE,logistics_cost,qty,0.0,24,CNY
MOM_China->DAD_Japan,IPHONE,insurance_cost,transfer_price,0.002,0,CNY
DAD_Japan->JP_Channel,IPHONE,logistics_cost,qty,0.0,500,JPY
DAD_Japan->US_Channel,IPHONE,logistics_cost,qty,0.0,2500,JPY
Farm_JP->JA_Seihaku,Koshihikari,logistics_cost,qty,0.0,150,JPY
Farm_JP->JA_Seihaku,Yumepirika,logistics_cost,qty,0.0,120,JPY
JA_Seihaku->DC_Rice,Koshihikari,logistics_cost,qty,0.0,180,JPY
JA_Seihaku->DC_Rice,Yumepirika,logistics_cost,qty,0.0,160,JPY
DC_Rice->JP_Channel,Koshihikari,logistics_cost,qty,0.0,120,JPY
DC_Rice->JP_Channel,Yumepirika,logistics_cost,qty,0.0,100,JPY
