node_id,product_id,cost_type,basis,rate,fixed_amount,currency
MOM_China,IPHONE,conversion_cost,qty,0.0,952,CNY
DAD_Japan,IPHONE,warehouse_cost,qty,0.0,2000,JPY
DAD_Japan,IPHONE,sga_cost,qty,0.0,1000,JPY
JP_Channel,IPHONE,sga_cost,revenue,0.08,0,JPY
JP_Channel,IPHONE,marketing_cost,revenue,0.05,0,JPY
US_Channel,IPHONE,sga_cost,revenue,0.1,0,USD
US_Channel,IPHONE,marketing_cost,revenue,0.06,0,USD
JA_Seihaku,Koshihikari,conversion_cost,qty,0.0,500,JPY
JA_Seihaku,Yumepirika,conversion_cost,qty,0.0,400,JPY
DC_Rice,Koshihikari,warehouse_cost,qty,0.0,200,JPY
DC_Rice,Yumepirika,warehouse_cost,qty,0.0,200,JPY
JP_Channel,Koshihikari,sga_cost,qty,0.0,300,JPY
JP_Channel,Yumepirika,sga_cost,qty,0.0,250,JPY
