sku_id,region,week,max_supply,node_name
iPhone16,IN,2026-W01,1169,BoschSensor_IN
iPhone16,IN,2026-W02,1165,BoschSensor_IN
iPhone16,IN,2026-W03,1161,BoschSensor_IN
iPhone16,IN,2026-W04,1157,BoschSensor_IN
iPhone16,IN,2026-W05,1152,BoschSensor_IN
iPhone16,IN,2026-W06,1148,BoschSensor_IN
iPhone16,IN,2026-W07,1144,BoschSensor_IN
iPhone16,IN,2026-W08,1140,BoschSensor_IN
iPhone16,IN,2026-W09,1136,BoschSensor_IN
iPhone16,IN,2026-W10,1132,BoschSensor_IN
iPhone16,IN,2026-W11,1128,BoschSensor_IN
iPhone16,IN,2026-W12,1124,BoschSensor_IN
iPhone16,IN,2026-W13,1119,BoschSensor_IN
iPhone16,IN,2026-W14,1115,BoschSensor_IN
iPhone16,IN,2026-W15,1111,BoschSensor_IN
iPhone16,IN,2026-W16,1107,BoschSensor_IN
iPhone16,IN,2026-W17,1103,BoschSensor_IN
iPhone16,IN,2026-W18,1099,BoschSensor_IN
iPhone16,IN,2026-W19,1095,BoschSensor_IN
iPhone16,IN,2026-W20,1090,BoschSensor_IN
iPhone16,IN,2026-W21,1086,BoschSensor_IN
iPhone16,IN,2026-W22,1082,BoschSensor_IN
iPhone16,IN,2026-W23,1078,BoschSensor_IN
iPhone16,IN,2026-W24,1074,BoschSensor_IN
iPhone16,IN,2026-W25,1070,BoschSensor_IN
iPhone16,IN,2026-W26,1066,BoschSensor_IN
iPhone16,IN,2026-W27,1062,BoschSensor_IN
iPhone16,IN,2026-W28,1057,BoschSensor_IN
iPhone16,IN,2026-W29,1053,BoschSensor_IN
iPhone16,IN,2026-W30,1049,BoschSensor_IN
iPhone16,IN,2026-W31,1045,BoschSensor_IN
iPhone16,IN,2026-W32,1041,BoschSensor_IN
iPhone16,IN,2026-W33,1037,BoschSensor_IN
iPhone16,IN,2026-W34,1033,BoschSensor_IN
iPhone16,IN,2026-W35,1028,BoschSensor_IN
iPhone16,IN,2026-W36,1024,BoschSensor_IN
iPhone16,IN,2026-W37,1020,BoschSensor_IN
iPhone16,IN,2026-W38,1016,BoschSensor_IN
iPhone16,IN,2026-W39,1012,BoschSensor_IN
iPhone16,IN,2026-W40,1008,BoschSensor_IN
iPhone16,IN,2026-W41,1004,BoschSensor_IN
iPhone16,IN,2026-W42,999,BoschSensor_IN
iPhone16,IN,2026-W43,995,BoschSensor_IN
iPhone16,IN,2026-W44,991,BoschSensor_IN
iPhone16,IN,2026-W45,987,BoschSensor_IN
iPhone16,IN,2026-W46,983,BoschSensor_IN
iPhone16,IN,2026-W47,979,BoschSensor_IN
iPhone16,IN,2026-W48,975,BoschSensor_IN
iPhone16,IN,2026-W49,971,BoschSensor_IN
iPhone16,IN,2026-W50,966,BoschSensor_IN
iPhone16,IN,2026-W51,962,BoschSensor_IN
iPhone16,IN,2026-W52,958,BoschSensor_IN
iPhone16,IN,2026-W53,954,BoschSensor_IN
iPhone16,IN,2027-W01,950,BoschSensor_IN
iPhone16,IN,2027-W02,950,BoschSensor_IN
iPhone16,IN,2027-W03,950,BoschSensor_IN
iPhone16,IN,2027-W04,950,BoschSensor_IN
iPhone16,IN,2027-W05,950,BoschSensor_IN
iPhone16,IN,2027-W06,950,BoschSensor_IN
iPhone16,IN,2027-W07,950,BoschSensor_IN
iPhone16,IN,2027-W08,950,BoschSensor_IN
iPhone16,IN,2027-W09,950,BoschSensor_IN
iPhone16,IN,2027-W10,950,BoschSensor_IN
iPhone16,IN,2027-W11,950,BoschSensor_IN
iPhone16,IN,2027-W12,950,BoschSensor_IN
iPhone16,IN,2027-W13,950,BoschSensor_IN
iPhone16,IN,2027-W14,950,BoschSensor_IN
iPhone16,IN,2027-W15,950,BoschSensor_IN
iPhone16,IN,2027-W16,950,BoschSensor_IN
iPhone16,IN,2027-W17,950,BoschSensor_IN
iPhone16,IN,2027-W18,950,BoschSensor_IN
iPhone16,IN,2027-W19,950,BoschSensor_IN
iPhone16,IN,2027-W20,950,BoschSensor_IN
iPhone16,IN,2027-W21,950,BoschSensor_IN
iPhone16,IN,2027-W22,950,BoschSensor_IN
iPhone16,IN,2027-W23,950,BoschSensor_IN
iPhone16,IN,2027-W24,950,BoschSensor_IN
iPhone16,IN,2027-W25,950,BoschSensor_IN
iPhone16,IN,2027-W26,950,BoschSensor_IN
iPhone16,IN,2027-W27,946,BoschSensor_IN
iPhone16,IN,2027-W28,941,BoschSensor_IN
iPhone16,IN,2027-W29,937,BoschSensor_IN
iPhone16,IN,2027-W30,932,BoschSensor_IN
iPhone16,IN,2027-W31,928,BoschSensor_IN
iPhone16,IN,2027-W32,923,BoschSensor_IN
iPhone16,IN,2027-W33,919,BoschSensor_IN
iPhone16,IN,2027-W34,914,BoschSensor_IN
iPhone16,IN,2027-W35,910,BoschSensor_IN
iPhone16,IN,2027-W36,906,BoschSensor_IN
iPhone16,IN,2027-W37,901,BoschSensor_IN
iPhone16,IN,2027-W38,897,BoschSensor_IN
iPhone16,IN,2027-W39,892,BoschSensor_IN
iPhone16,IN,2027-W40,888,BoschSensor_IN
iPhone16,IN,2027-W41,883,BoschSensor_IN
iPhone16,IN,2027-W42,879,BoschSensor_IN
iPhone16,IN,2027-W43,874,BoschSensor_IN
iPhone16,IN,2027-W44,870,BoschSensor_IN
