sku_id,region,week,quantity
iPhone16,AMER,2027-W01,900
iPhone16,AMER,2027-W02,900
iPhone16,AMER,2027-W03,900
iPhone16,AMER,2027-W04,900
iPhone16,AMER,2027-W05,900
iPhone16,AMER,2027-W06,900
iPhone16,AMER,2027-W07,900
iPhone16,AMER,2027-W08,900
iPhone16,AMER,2027-W09,900
iPhone16,AMER,2027-W10,900
iPhone16,AMER,2027-W11,900
iPhone16,AMER,2027-W12,900
iPhone16,AMER,2027-W13,900
iPhone16,AMER,2027-W14,900
iPhone16,AMER,2027-W15,900
iPhone16,AMER,2027-W16,900
iPhone16,AMER,2027-W17,900
iPhone16,AMER,2027-W18,900
iPhone16,AMER,2027-W19,900
iPhone16,AMER,2027-W20,900
iPhone16,AMER,2027-W21,900
iPhone16,AMER,2027-W22,900
iPhone16,AMER,2027-W23,900
iPhone16,AMER,2027-W24,900
iPhone16,AMER,2027-W25,900
iPhone16,AMER,2027-W26,900
iPhone16,AMER,2027-W27,896
iPhone16,AMER,2027-W28,891
iPhone16,AMER,2027-W29,887
iPhone16,AMER,2027-W30,882
iPhone16,AMER,2027-W31,878
iPhone16,AMER,2027-W32,873
iPhone16,AMER,2027-W33,869
iPhone16,AMER,2027-W34,864
iPhone16,AMER,2027-W35,860
iPhone16,AMER,2027-W36,856
iPhone16,AMER,2027-W37,851
iPhone16,AMER,2027-W38,847
iPhone16,AMER,2027-W39,842
iPhone16,AMER,2027-W40,838
iPhone16,AMER,2027-W41,833
iPhone16,AMER,2027-W42,829
iPhone16,AMER,2027-W43,824
iPhone16,AMER,2027-W44,820
iPhone16,AMER,2027-W45,816
iPhone16,AMER,2027-W46,811
iPhone16,AMER,2027-W47,807
iPhone16,AMER,2027-W48,802
iPhone16,AMER,2027-W49,798
iPhone16,AMER,2027-W50,793
iPhone16,AMER,2027-W51,789
iPhone16,AMER,2027-W52,784
iPhone16,AMER,2028-W01,775
iPhone16,AMER,2028-W02,770
iPhone16,AMER,2028-W03,766
iPhone16,AMER,2028-W04,761
iPhone16,AMER,2028-W05,756
iPhone16,AMER,2028-W06,751
iPhone16,AMER,2028-W07,746
iPhone16,AMER,2028-W08,741
iPhone16,AMER,2028-W09,737
iPhone16,AMER,2028-W10,732
iPhone16,AMER,2028-W11,727
iPhone16,AMER,2028-W12,722
iPhone16,AMER,2028-W13,717
iPhone16,AMER,2028-W14,713
iPhone16,AMER,2028-W15,708
iPhone16,AMER,2028-W16,703
iPhone16,AMER,2028-W17,698
iPhone16,AMER,2028-W18,693
iPhone16,AMER,2028-W19,689
iPhone16,AMER,2028-W20,684
iPhone16,AMER,2028-W21,679
iPhone16,AMER,2028-W22,674
iPhone16,AMER,2028-W23,669
iPhone16,AMER,2028-W24,664
iPhone16,AMER,2028-W25,660
iPhone16,AMER,2028-W26,655
iPhone16,AMER,2028-W27,646
iPhone16,AMER,2028-W28,643
iPhone16,AMER,2028-W29,639
iPhone16,AMER,2028-W30,635
iPhone16,AMER,2028-W31,631
iPhone16,AMER,2028-W32,628
iPhone16,AMER,2028-W33,624
iPhone16,AMER,2028-W34,620
iPhone16,AMER,2028-W35,617
iPhone16,AMER,2028-W36,613
iPhone16,AMER,2028-W37,609
iPhone16,AMER,2028-W38,606
iPhone16,AMER,2028-W39,602
iPhone16,AMER,2028-W40,598
iPhone16,AMER,2028-W41,594
iPhone16,AMER,2028-W42,591
iPhone16,AMER,2028-W43,587
iPhone16,AMER,2028-W44,583
iPhone16,AMER,2028-W45,580
iPhone16,AMER,2028-W46,576
iPhone16,AMER,2028-W47,572
iPhone16,AMER,2028-W48,569
iPhone16,AMER,2028-W49,565
iPhone16,AMER,2028-W50,561
iPhone16,AMER,2028-W51,557
iPhone16,AMER,2028-W52,554
iPhone16,AMER,2029-W01,544
iPhone16,AMER,2029-W02,539
iPhone16,AMER,2029-W03,533
iPhone16,AMER,2029-W04,528
iPhone16,AMER,2029-W05,522
iPhone16,AMER,2029-W06,517
iPhone16,AMER,2029-W07,511
iPhone16,AMER,2029-W08,506
iPhone16,AMER,2029-W09,500
iPhone16,AMER,2029-W10,494
iPhone16,AMER,2029-W11,489
iPhone16,AMER,2029-W12,483
iPhone16,AMER,2029-W13,478
iPhone16,AMER,2029-W14,472
iPhone16,AMER,2029-W15,467
iPhone16,AMER,2029-W16,461
iPhone16,AMER,2029-W17,456
iPhone16,AMER,2029-W18,450
iPhone16,AMER,2029-W19,444
iPhone16,AMER,2029-W20,439
iPhone16,AMER,2029-W21,433
iPhone16,AMER,2029-W22,428
iPhone16,AMER,2029-W23,422
iPhone16,AMER,2029-W24,417
iPhone16,AMER,2029-W25,411
iPhone16,AMER,2029-W26,406
iPhone16,AMER,2029-W27,394
iPhone16,AMER,2029-W28,389
iPhone16,AMER,2029-W29,383
iPhone16,AMER,2029-W30,378
iPhone16,AMER,2029-W31,372
iPhone16,AMER,2029-W32,367
iPhone16,AMER,2029-W33,361
iPhone16,AMER,2029-W34,356
iPhone16,AMER,2029-W35,350
iPhone16,AMER,2029-W36,344
iPhone16,AMER,2029-W37,339
iPhone16,AMER,2029-W38,333
iPhone16,AMER,2029-W39,328
iPhone16,AMER,2029-W40,322
iPhone16,AMER,2029-W41,317
iPhone16,AMER,2029-W42,311
iPhone16,AMER,2029-W43,306
iPhone16,AMER,2029-W44,300
iPhone16,AMER,2029-W45,294
iPhone16,AMER,2029-W46,289
iPhone16,AMER,2029-W47,283
iPhone16,AMER,2029-W48,278
iPhone16,AMER,2029-W49,272
iPhone16,AMER,2029-W50,267
iPhone16,AMER,2029-W51,261
iPhone16,AMER,2029-W52,256
iPhone16,EMEA,2027-W01,630
iPhone16,EMEA,2027-W02,630
iPhone16,EMEA,2027-W03,630
iPhone16,EMEA,2027-W04,630
iPhone16,EMEA,2027-W05,630
iPhone16,EMEA,2027-W06,630
iPhone16,EMEA,2027-W07,630
iPhone16,EMEA,2027-W08,630
iPhone16,EMEA,2027-W09,630
iPhone16,EMEA,2027-W10,630
iPhone16,EMEA,2027-W11,630
iPhone16,EMEA,2027-W12,630
iPhone16,EMEA,2027-W13,630
iPhone16,EMEA,2027-W14,630
iPhone16,EMEA,2027-W15,630
iPhone16,EMEA,2027-W16,630
iPhone16,EMEA,2027-W17,630
iPhone16,EMEA,2027-W18,630
