market_node,product_id,week,market_price,currency
Retail_Local_KANTO,Gasoline_Local,2027-W01,170000,JPY
Retail_Local_KANSAI,Gasoline_Local,2027-W01,168000,JPY
Retail_Local_CHUBU,Gasoline_Local,2027-W01,172000,JPY
Retail_Import_KANTO_I,Gasoline_Import,2027-W01,165000,JPY
Retail_Import_KANSAI_I,Gasoline_Import,2027-W01,163000,JPY
Retail_Local_H_KANTO,Gasoline_Local_Hormuz,2027-W01,2700000000,JPY
Retail_Local_H_KANSAI,Gasoline_Local_Hormuz,2027-W01,2670000000,JPY
Retail_Local_H_CHUBU,Gasoline_Local_Hormuz,2027-W01,2730000000,JPY
Retail_Local_R_KANTO,Gasoline_Local_RedSea,2027-W01,2700000000,JPY
Retail_Local_R_KANSAI,Gasoline_Local_RedSea,2027-W01,2670000000,JPY
Retail_Local_R_CHUBU,Gasoline_Local_RedSea,2027-W01,2730000000,JPY
Retail_EU_DE,Gasoline_EU_Local,2027-W01,1750,EUR
Retail_EU_FR,Gasoline_EU_Local,2027-W01,1800,EUR
Retail_EU_NL,Gasoline_EU_Local,2027-W01,1900,EUR
Retail_EU_Import_DE_I,Gasoline_EU_Import,2027-W01,1700,EUR
Retail_EU_Import_FR_I,Gasoline_EU_Import,2027-W01,1720,EUR
Retail_US_TX,Gasoline_US_Local,2027-W01,900,USD
Retail_US_CA,Gasoline_US_Local,2027-W01,1050,USD
Retail_US_NY,Gasoline_US_Local,2027-W01,950,USD
Retail_US_Import_MW_I,Gasoline_US_Import,2027-W01,880,USD
Retail_US_Import_NE_I,Gasoline_US_Import,2027-W01,920,USD
