sku_id,sku_name,region,uom,unit_cost,safety_stock_wks,lead_time_wks,order_multiple,max_order_qty,shelf_life_wks,active,selling_price,dso_wks,dpo_wks
Gasoline_Local,Gasoline (Local Refining),KANTO,KL,110000,1,2,10,0,0,True,170000,1,30
Gasoline_Local,Gasoline (Local Refining),KANSAI,KL,110000,1,3,10,0,0,True,168000,1,30
Gasoline_Local,Gasoline (Local Refining),CHUBU,KL,110000,1,2,10,0,0,True,172000,1,30
Gasoline_Import,Gasoline (Refined Import),KANTO_I,KL,97500,2,6,10,0,0,True,165000,1,45
Gasoline_Import,Gasoline (Refined Import),KANSAI_I,KL,97500,2,7,10,0,0,True,163000,1,45
Gasoline_Local_Hormuz,"Gasoline (Hormuz Normal Route, crude-equiv lot=100kbbl)",KANTO,KL,73584906,1,5,1,0,0,True,2700000000,1,30
Gasoline_Local_Hormuz,"Gasoline (Hormuz Normal Route, crude-equiv lot=100kbbl)",KANSAI,KL,73584906,1,6,1,0,0,True,2670000000,1,30
Gasoline_Local_Hormuz,"Gasoline (Hormuz Normal Route, crude-equiv lot=100kbbl)",CHUBU,KL,73584906,1,5,1,0,0,True,2730000000,1,30
Gasoline_Local_RedSea,"Gasoline (RedSea Alt Route, crude-equiv lot=100kbbl)",KANTO,KL,80188679,1,7,1,0,0,True,2700000000,1,30
Gasoline_Local_RedSea,"Gasoline (RedSea Alt Route, crude-equiv lot=100kbbl)",KANSAI,KL,80188679,1,8,1,0,0,True,2670000000,1,30
Gasoline_Local_RedSea,"Gasoline (RedSea Alt Route, crude-equiv lot=100kbbl)",CHUBU,KL,80188679,1,7,1,0,0,True,2730000000,1,30
Gasoline_EU_Local,Gasoline (EU Local Refining),DE,KL,145,1,2,10,0,0,True,1750,1,30
Gasoline_EU_Local,Gasoline (EU Local Refining),FR,KL,145,1,3,10,0,0,True,1800,1,30
Gasoline_EU_Local,Gasoline (EU Local Refining),NL,KL,145,1,2,10,0,0,True,1900,1,30
Gasoline_EU_Import,Gasoline (EU US-Import),DE_I,KL,130,2,4,10,0,0,True,1700,1,45
Gasoline_EU_Import,Gasoline (EU US-Import),FR_I,KL,130,2,5,10,0,0,True,1720,1,45
Gasoline_US_Local,Gasoline (US Shale-based Local Refining),TX,KL,88,1,1,10,0,0,True,900,1,30
Gasoline_US_Local,Gasoline (US Shale-based Local Refining),CA,KL,88,1,2,10,0,0,True,1050,1,30
Gasoline_US_Local,Gasoline (US Shale-based Local Refining),NY,KL,88,1,2,10,0,0,True,950,1,30
Gasoline_US_Import,Gasoline (Canada Oil Sands Import),MW_I,KL,76,2,3,10,0,0,True,880,1,45
Gasoline_US_Import,Gasoline (Canada Oil Sands Import),NE_I,KL,76,2,4,10,0,0,True,920,1,45
