sku_id,leaf_node_name,mom_node_id,priority
Gasoline_Local,Retail_Local_KANTO,IN:mom:Refinery_Local:Gasoline_Local,1
Gasoline_Local,Retail_Local_KANSAI,IN:mom:Refinery_Local:Gasoline_Local,1
Gasoline_Local,Retail_Local_CHUBU,IN:mom:Refinery_Local:Gasoline_Local,1
Gasoline_Import,Retail_Import_KANTO_I,IN:mom:Import_Hub:Gasoline_Import,1
Gasoline_Import,Retail_Import_KANSAI_I,IN:mom:Import_Hub:Gasoline_Import,1
Gasoline_Local_Hormuz,Retail_Local_H_KANTO,IN:mom:Refinery_Local_H:Gasoline_Local_Hormuz,1
Gasoline_Local_Hormuz,Retail_Local_H_KANSAI,IN:mom:Refinery_Local_H:Gasoline_Local_Hormuz,1
Gasoline_Local_Hormuz,Retail_Local_H_CHUBU,IN:mom:Refinery_Local_H:Gasoline_Local_Hormuz,1
Gasoline_Local_RedSea,Retail_Local_R_KANTO,IN:mom:Refinery_Local_R:Gasoline_Local_RedSea,1
Gasoline_Local_RedSea,Retail_Local_R_KANSAI,IN:mom:Refinery_Local_R:Gasoline_Local_RedSea,1
Gasoline_Local_RedSea,Retail_Local_R_CHUBU,IN:mom:Refinery_Local_R:Gasoline_Local_RedSea,1
Gasoline_EU_Local,Retail_EU_DE,IN:mom:Refinery_EU:Gasoline_EU_Local,1
Gasoline_EU_Local,Retail_EU_FR,IN:mom:Refinery_EU:Gasoline_EU_Local,1
Gasoline_EU_Local,Retail_EU_NL,IN:mom:Refinery_EU:Gasoline_EU_Local,1
Gasoline_EU_Import,Retail_EU_Import_DE_I,IN:mom:Import_Hub_EU:Gasoline_EU_Import,1
Gasoline_EU_Import,Retail_EU_Import_FR_I,IN:mom:Import_Hub_EU:Gasoline_EU_Import,1
Gasoline_US_Local,Retail_US_TX,IN:mom:Refinery_USGulf:Gasoline_US_Local,1
Gasoline_US_Local,Retail_US_CA,IN:mom:Refinery_USGulf:Gasoline_US_Local,1
Gasoline_US_Local,Retail_US_NY,IN:mom:Refinery_USGulf:Gasoline_US_Local,1
Gasoline_US_Import,Retail_US_Import_MW_I,IN:mom:Import_Hub_US:Gasoline_US_Import,1
Gasoline_US_Import,Retail_US_Import_NE_I,IN:mom:Import_Hub_US:Gasoline_US_Import,1
