sku_id,node_name,week,shifts
Soy_Sauce,Bottling_Noda,2026-W28,18
Soy_Sauce,Bottling_Noda,2026-W29,18
Soy_Sauce,Bottling_Noda,2026-W30,18
Soy_Sauce,Bottling_Noda,2026-W31,18
Soy_Sauce,Bottling_Noda,2026-W32,18
Soy_Sauce,Bottling_Noda,2026-W33,18
Soy_Sauce,Bottling_Noda,2026-W34,18
Soy_Sauce,Bottling_Noda,2026-W35,18
Soy_Sauce,Bottling_Noda,2026-W36,18
Soy_Sauce,Bottling_Noda,2026-W37,18
Soy_Sauce,Bottling_Noda,2026-W38,18
Soy_Sauce,Bottling_Noda,2026-W39,18
Soy_Sauce,Bottling_Noda,2026-W40,18
Soy_Sauce,Bottling_Noda,2026-W41,18
Soy_Sauce,Bottling_Noda,2026-W42,18
Soy_Sauce,Bottling_Noda,2026-W43,18
Soy_Sauce,Bottling_Noda,2026-W44,18
Soy_Sauce,Bottling_Noda,2026-W45,18
Soy_Sauce,Bottling_Noda,2026-W46,18
Soy_Sauce,Bottling_Noda,2026-W47,18
Soy_Sauce,Bottling_Noda,2026-W48,18
Soy_Sauce,Bottling_Noda,2026-W49,18
Soy_Sauce,Bottling_Noda,2026-W50,18
Soy_Sauce,Bottling_Noda,2026-W51,18
Soy_Sauce,Bottling_Noda,2026-W52,18
Soy_Sauce,Bottling_Noda,2026-W53,18
Soy_Sauce,Bottling_Noda,2027-W01,18
Soy_Sauce,Bottling_Noda,2027-W02,18
Soy_Sauce,Bottling_Noda,2027-W03,18
Soy_Sauce,Bottling_Noda,2027-W04,18
Soy_Sauce,Bottling_Noda,2027-W05,18
Soy_Sauce,Bottling_Noda,2027-W06,18
Soy_Sauce,Bottling_Noda,2027-W07,18
Soy_Sauce,Bottling_Noda,2027-W08,18
Soy_Sauce,Bottling_Noda,2027-W09,18
Soy_Sauce,Bottling_Noda,2027-W10,18
Soy_Sauce,Bottling_Noda,2027-W11,18
Soy_Sauce,Bottling_Noda,2027-W12,18
Soy_Sauce,Bottling_Noda,2027-W13,18
Soy_Sauce,Bottling_Noda,2027-W14,18
Soy_Sauce,Bottling_Noda,2027-W15,18
Soy_Sauce,Bottling_Noda,2027-W16,18
Soy_Sauce,Bottling_Noda,2027-W17,18
Soy_Sauce,Bottling_Noda,2027-W18,18
Soy_Sauce,Bottling_Noda,2027-W19,18
Soy_Sauce,Bottling_Noda,2027-W20,18
