sku_id,node_name,week,max_supply,cap_pieces,source
Cookie_Import,Factory_GP_CN,2026-W02,800,,北京工場 週次能力
Cookie_Import,Ingredients_CN,2026-W02,5000,,原料調達 事実上無制限
Cookie_Import,DC_Import_Buffer,2026-W02,900,,保税倉庫 スループット上限
Cookie_Import,DC_Import_Main,2026-W02,900,,国内DC スループット上限
Cookie_Local,Factory_DP_JP,2026-W02,700,,国内工場 週次能力
Cookie_Local,Ingredients_JP,2026-W02,5000,,国内原料 事実上無制限
Cookie_Local,DC_Local_JP,2026-W02,800,,Domestic_Player DC スループット上限
Cookie_Import,Factory_GP_CN,2026-W03,800,,北京工場 週次能力
Cookie_Import,Ingredients_CN,2026-W03,5000,,原料調達 事実上無制限
Cookie_Import,DC_Import_Buffer,2026-W03,900,,保税倉庫 スループット上限
Cookie_Import,DC_Import_Main,2026-W03,900,,国内DC スループット上限
Cookie_Local,Factory_DP_JP,2026-W03,700,,国内工場 週次能力
Cookie_Local,Ingredients_JP,2026-W03,5000,,国内原料 事実上無制限
Cookie_Local,DC_Local_JP,2026-W03,800,,Domestic_Player DC スループット上限
Cookie_Import,Factory_GP_CN,2026-W04,800,,北京工場 週次能力
Cookie_Import,Ingredients_CN,2026-W04,5000,,原料調達 事実上無制限
Cookie_Import,DC_Import_Buffer,2026-W04,900,,保税倉庫 スループット上限
Cookie_Import,DC_Import_Main,2026-W04,900,,国内DC スループット上限
Cookie_Local,Factory_DP_JP,2026-W04,700,,国内工場 週次能力
Cookie_Local,Ingredients_JP,2026-W04,5000,,国内原料 事実上無制限
Cookie_Local,DC_Local_JP,2026-W04,800,,Domestic_Player DC スループット上限
Cookie_Import,Factory_GP_CN,2026-W05,800,,北京工場 週次能力
Cookie_Import,Ingredients_CN,2026-W05,5000,,原料調達 事実上無制限
Cookie_Import,DC_Import_Buffer,2026-W05,900,,保税倉庫 スループット上限
Cookie_Import,DC_Import_Main,2026-W05,900,,国内DC スループット上限
Cookie_Local,Factory_DP_JP,2026-W05,700,,国内工場 週次能力
Cookie_Local,Ingredients_JP,2026-W05,5000,,国内原料 事実上無制限
Cookie_Local,DC_Local_JP,2026-W05,800,,Domestic_Player DC スループット上限
Cookie_Import,Factory_GP_CN,2026-W06,800,,北京工場 週次能力
Cookie_Import,Ingredients_CN,2026-W06,5000,,原料調達 事実上無制限
Cookie_Import,DC_Import_Buffer,2026-W06,900,,保税倉庫 スループット上限
Cookie_Import,DC_Import_Main,2026-W06,900,,国内DC スループット上限
Cookie_Local,Factory_DP_JP,2026-W06,700,,国内工場 週次能力
Cookie_Local,Ingredients_JP,2026-W06,5000,,国内原料 事実上無制限
Cookie_Local,DC_Local_JP,2026-W06,800,,Domestic_Player DC スループット上限
Cookie_Import,Factory_GP_CN,2026-W07,800,,北京工場 週次能力
Cookie_Import,Ingredients_CN,2026-W07,5000,,原料調達 事実上無制限
Cookie_Import,DC_Import_Buffer,2026-W07,900,,保税倉庫 スループット上限
Cookie_Import,DC_Import_Main,2026-W07,900,,国内DC スループット上限
Cookie_Local,Factory_DP_JP,2026-W07,700,,国内工場 週次能力
Cookie_Local,Ingredients_JP,2026-W07,5000,,国内原料 事実上無制限
Cookie_Local,DC_Local_JP,2026-W07,800,,Domestic_Player DC スループット上限
Cookie_Import,Factory_GP_CN,2026-W08,800,,北京工場 週次能力
