product_name,node_name,offering_price_ASIS,offering_price_TOBE
IPHONE_NM_2028_BASE,supply_point,0,0.0
IPHONE_NM_2028_PRO,supply_point,0,0.0
IPHONE_NM_2028_BASE,DAD_FAS_AMER,0.0,0.0
IPHONE_NM_2028_PRO,DAD_FAS_AMER,0.0,0.0
IPHONE_NM_2028_BASE,DAD_FAS_EURO,0.0,-0.0
IPHONE_NM_2028_PRO,DAD_FAS_EURO,0.0,-0.0
IPHONE_NM_2028_BASE,DAD_FAS_APAC,0.0,-0.0
IPHONE_NM_2028_PRO,DAD_FAS_APAC,0.0,-0.0
IPHONE_NM_2028_BASE,WS_NA,0.0,-0.0
IPHONE_NM_2028_PRO,WS_NA,0.0,-0.0
IPHONE_NM_2028_BASE,WS_EU,0.0,0.0
IPHONE_NM_2028_PRO,WS_EU,0.0,0.0
IPHONE_NM_2028_BASE,WS_APAC,0.0,0.0
IPHONE_NM_2028_PRO,WS_APAC,0.0,0.0
IPHONE_NM_2028_BASE,RT_US_ONLINE,0.0,-0.0
IPHONE_NM_2028_PRO,RT_US_ONLINE,0.0,-0.0
IPHONE_NM_2028_BASE,RT_US_CARRIER,0.0,0.0
IPHONE_NM_2028_PRO,RT_US_CARRIER,0.0,0.0
IPHONE_NM_2028_BASE,RT_DE_ONLINE,0.0,-0.0
IPHONE_NM_2028_PRO,RT_DE_ONLINE,0.0,-0.0
IPHONE_NM_2028_BASE,RT_UK_CARRIER,0.0,-0.0
IPHONE_NM_2028_PRO,RT_UK_CARRIER,0.0,-0.0
IPHONE_NM_2028_BASE,RT_JP_APPLE,0.0,-0.0
IPHONE_NM_2028_PRO,RT_JP_APPLE,0.0,-0.0
IPHONE_NM_2028_BASE,RT_IN_ECOM,0.0,-0.0
IPHONE_NM_2028_PRO,RT_IN_ECOM,0.0,-0.0
IPHONE_NM_2028_BASE,RT_CN_ONLINE,0.0,-0.0
IPHONE_NM_2028_PRO,RT_CN_ONLINE,0.0,-0.0
IPHONE_NM_2028_BASE,CS_US_PREMIUM,0.0,0
IPHONE_NM_2028_PRO,CS_US_PREMIUM,0.0,0
IPHONE_NM_2028_BASE,CS_US_MAINSTREAM,0.0,0
IPHONE_NM_2028_PRO,CS_US_MAINSTREAM,0.0,0
IPHONE_NM_2028_BASE,CS_DE_PREMIUM,0.0,0
IPHONE_NM_2028_PRO,CS_DE_PREMIUM,0.0,0
IPHONE_NM_2028_BASE,CS_UK_MAINSTREAM,0.0,0
IPHONE_NM_2028_PRO,CS_UK_MAINSTREAM,0.0,0
IPHONE_NM_2028_BASE,CS_JP_REPLACEMENT,0.0,0
IPHONE_NM_2028_PRO,CS_JP_REPLACEMENT,0.0,0
IPHONE_NM_2028_BASE,CS_IN_ASPIRER,0.0,0
IPHONE_NM_2028_PRO,CS_IN_ASPIRER,0.0,0
IPHONE_NM_2028_BASE,CS_CN_PREMIUM,0.0,0
IPHONE_NM_2028_PRO,CS_CN_PREMIUM,0.0,0
