holiday_id,holiday_name,start_week,end_week,node_name,effect,value
CNY_2027,春節2027（FoundryTW工場閉鎖）,2027-W06,2027-W07,WaferFab_TW,supply_closure,0.0
CNY_2027,春節2027（FoundryTW工場閉鎖）,2027-W06,2027-W07,WaferFab_TW_g1,supply_closure,0.0
CNY_2027,春節2027（FoundryTW工場閉鎖）,2027-W06,2027-W07,WaferFab_TW_g3,supply_closure,0.0
CNY_2028,春節2028（FoundryTW工場閉鎖）,2028-W05,2028-W06,WaferFab_TW,supply_closure,0.0
CNY_2028,春節2028（FoundryTW工場閉鎖）,2028-W05,2028-W06,WaferFab_TW_g1,supply_closure,0.0
CNY_2028,春節2028（FoundryTW工場閉鎖）,2028-W05,2028-W06,WaferFab_TW_g3,supply_closure,0.0
CNY_2029,春節2029（FoundryTW工場閉鎖）,2029-W04,2029-W05,WaferFab_TW,supply_closure,0.0
CNY_2029,春節2029（FoundryTW工場閉鎖）,2029-W04,2029-W05,WaferFab_TW_g1,supply_closure,0.0
CNY_2029,春節2029（FoundryTW工場閉鎖）,2029-W04,2029-W05,WaferFab_TW_g3,supply_closure,0.0
DIWALI_2027,ディワリ2027（インド工場閉鎖）,2027-W42,2027-W42,SensorIN,supply_closure,0.5
DIWALI_2028,ディワリ2028（インド工場閉鎖）,2028-W40,2028-W40,SensorIN,supply_closure,0.5
DIWALI_2029,ディワリ2029（インド工場閉鎖）,2029-W41,2029-W41,SensorIN,supply_closure,0.5
CNY_2026,春節2026（FoundryTW工場閉鎖）,2026-W08,2026-W09,WaferFab_TW,supply_closure,0.0
CNY_2026,春節2026（FoundryTW工場閉鎖）,2026-W08,2026-W09,WaferFab_TW_g1,supply_closure,0.0
CNY_2026,春節2026（FoundryTW工場閉鎖）,2026-W08,2026-W09,WaferFab_TW_g3,supply_closure,0.0
DIWALI_2026,ディワリ2026（インド工場閉鎖）,2026-W43,2026-W43,SensorIN,supply_closure,0.5
CNY_2030,春節2030（FoundryTW工場閉鎖）,2030-W05,2030-W06,WaferFab_TW,supply_closure,0.0
CNY_2030,春節2030（FoundryTW工場閉鎖）,2030-W05,2030-W06,WaferFab_TW_g1,supply_closure,0.0
CNY_2030,春節2030（FoundryTW工場閉鎖）,2030-W05,2030-W06,WaferFab_TW_g3,supply_closure,0.0
DIWALI_2030,ディワリ2030（インド工場閉鎖）,2030-W41,2030-W41,SensorIN,supply_closure,0.5
