sku_id,region,week,max_supply,cap_pieces,node_name
SmartXPro_IN,IN,2026-W01,1169,,SensorIN
SmartXPro_IN,IN,2026-W02,1165,,SensorIN
SmartXPro_IN,IN,2026-W03,1161,,SensorIN
SmartXPro_IN,IN,2026-W04,1157,,SensorIN
SmartXPro_IN,IN,2026-W05,1152,,SensorIN
SmartXPro_IN,IN,2026-W06,1148,,SensorIN
SmartXPro_IN,IN,2026-W07,1144,,SensorIN
SmartXPro_IN,IN,2026-W08,1140,,SensorIN
SmartXPro_IN,IN,2026-W09,1136,,SensorIN
SmartXPro_IN,IN,2026-W10,1132,,SensorIN
SmartXPro_IN,IN,2026-W11,1128,,SensorIN
SmartXPro_IN,IN,2026-W12,1124,,SensorIN
SmartXPro_IN,IN,2026-W13,1119,,SensorIN
SmartXPro_IN,IN,2026-W14,1115,,SensorIN
SmartXPro_IN,IN,2026-W15,1111,,SensorIN
SmartXPro_IN,IN,2026-W16,1107,,SensorIN
SmartXPro_IN,IN,2026-W17,1103,,SensorIN
SmartXPro_IN,IN,2026-W18,1099,,SensorIN
SmartXPro_IN,IN,2026-W19,1095,,SensorIN
SmartXPro_IN,IN,2026-W20,1090,,SensorIN
SmartXPro_IN,IN,2026-W21,1086,,SensorIN
SmartXPro_IN,IN,2026-W22,1082,,SensorIN
SmartXPro_IN,IN,2026-W23,1078,,SensorIN
SmartXPro_IN,IN,2026-W24,1074,,SensorIN
SmartXPro_IN,IN,2026-W25,1070,,SensorIN
SmartXPro_IN,IN,2026-W26,1066,,SensorIN
SmartXPro_IN,IN,2026-W27,1062,,SensorIN
SmartXPro_IN,IN,2026-W28,1057,,SensorIN
SmartXPro_IN,IN,2026-W29,1053,,SensorIN
SmartXPro_IN,IN,2026-W30,1049,,SensorIN
SmartXPro_IN,IN,2026-W31,1045,,SensorIN
SmartXPro_IN,IN,2026-W32,1041,,SensorIN
SmartXPro_IN,IN,2026-W33,1037,,SensorIN
SmartXPro_IN,IN,2026-W34,1033,,SensorIN
SmartXPro_IN,IN,2026-W35,1028,,SensorIN
SmartXPro_IN,IN,2026-W36,1024,,SensorIN
SmartXPro_IN,IN,2026-W37,1020,,SensorIN
SmartXPro_IN,IN,2026-W38,1016,,SensorIN
SmartXPro_IN,IN,2026-W39,1012,,SensorIN
SmartXPro_IN,IN,2026-W40,1008,,SensorIN
SmartXPro_IN,IN,2026-W41,1004,,SensorIN
SmartXPro_IN,IN,2026-W42,999,,SensorIN
SmartXPro_IN,IN,2026-W43,995,,SensorIN
SmartXPro_IN,IN,2026-W44,991,,SensorIN
SmartXPro_IN,IN,2026-W45,987,,SensorIN
SmartXPro_IN,IN,2026-W46,983,,SensorIN
SmartXPro_IN,IN,2026-W47,979,,SensorIN
SmartXPro_IN,IN,2026-W48,975,,SensorIN
SmartXPro_IN,IN,2026-W49,971,,SensorIN
SmartXPro_IN,IN,2026-W50,966,,SensorIN
SmartXPro_IN,IN,2026-W51,962,,SensorIN
SmartXPro_IN,IN,2026-W52,958,,SensorIN
SmartXPro_IN,IN,2026-W53,954,,SensorIN
SmartXPro_IN,IN,2027-W01,950,,SensorIN
SmartXPro_IN,IN,2027-W02,950,,SensorIN
SmartXPro_IN,IN,2027-W03,950,,SensorIN
SmartXPro_IN,IN,2027-W04,950,,SensorIN
SmartXPro_IN,IN,2027-W05,950,,SensorIN
SmartXPro_IN,IN,2027-W06,950,,SensorIN
SmartXPro_IN,IN,2027-W07,950,,SensorIN
SmartXPro_IN,IN,2027-W08,950,,SensorIN
SmartXPro_IN,IN,2027-W09,950,,SensorIN
SmartXPro_IN,IN,2027-W10,950,,SensorIN
SmartXPro_IN,IN,2027-W11,950,,SensorIN
SmartXPro_IN,IN,2027-W12,950,,SensorIN
SmartXPro_IN,IN,2027-W13,950,,SensorIN
SmartXPro_IN,IN,2027-W14,950,,SensorIN
SmartXPro_IN,IN,2027-W15,950,,SensorIN
SmartXPro_IN,IN,2027-W16,950,,SensorIN
SmartXPro_IN,IN,2027-W17,950,,SensorIN
SmartXPro_IN,IN,2027-W18,950,,SensorIN
SmartXPro_IN,IN,2027-W19,950,,SensorIN
SmartXPro_IN,IN,2027-W20,950,,SensorIN
SmartXPro_IN,IN,2027-W21,950,,SensorIN
SmartXPro_IN,IN,2027-W22,950,,SensorIN
SmartXPro_IN,IN,2027-W23,950,,SensorIN
SmartXPro_IN,IN,2027-W24,950,,SensorIN
SmartXPro_IN,IN,2027-W25,950,,SensorIN
SmartXPro_IN,IN,2027-W26,950,,SensorIN
SmartXPro_IN,IN,2027-W27,946,,SensorIN
SmartXPro_IN,IN,2027-W28,941,,SensorIN
SmartXPro_IN,IN,2027-W29,937,,SensorIN
SmartXPro_IN,IN,2027-W30,932,,SensorIN
SmartXPro_IN,IN,2027-W31,928,,SensorIN
SmartXPro_IN,IN,2027-W32,923,,SensorIN
SmartXPro_IN,IN,2027-W33,919,,SensorIN
SmartXPro_IN,IN,2027-W34,914,,SensorIN
SmartXPro_IN,IN,2027-W35,910,,SensorIN
SmartXPro_IN,IN,2027-W36,906,,SensorIN
SmartXPro_IN,IN,2027-W37,901,,SensorIN
SmartXPro_IN,IN,2027-W38,897,,SensorIN
SmartXPro_IN,IN,2027-W39,892,,SensorIN
SmartXPro_IN,IN,2027-W40,888,,SensorIN
SmartXPro_IN,IN,2027-W41,883,,SensorIN
SmartXPro_IN,IN,2027-W42,879,,SensorIN
SmartXPro_IN,IN,2027-W43,874,,SensorIN
SmartXPro_IN,IN,2027-W44,870,,SensorIN
SmartXPro_IN,IN,2027-W45,866,,SensorIN
SmartXPro_IN,IN,2027-W46,861,,SensorIN
SmartXPro_IN,IN,2027-W47,857,,SensorIN
SmartXPro_IN,IN,2027-W48,852,,SensorIN
SmartXPro_IN,IN,2027-W49,848,,SensorIN
SmartXPro_IN,IN,2027-W50,843,,SensorIN
SmartXPro_IN,IN,2027-W51,839,,SensorIN
SmartXPro_IN,IN,2027-W52,834,,SensorIN
