sku_id,region,week,max_supply,source
iPhone16,CN,2027-W01,720,Foxconn_CN
iPhone16,CN,2027-W02,720,Foxconn_CN
iPhone16,CN,2027-W03,720,Foxconn_CN
iPhone16,CN,2027-W04,720,Foxconn_CN
iPhone16,CN,2027-W05,1200,Foxconn_CN
iPhone16,CN,2027-W06,1200,Foxconn_CN
iPhone16,CN,2027-W07,1200,Foxconn_CN
iPhone16,CN,2027-W08,1200,Foxconn_CN
iPhone16,CN,2027-W09,1200,Foxconn_CN
iPhone16,CN,2027-W10,1200,Foxconn_CN
iPhone16,CN,2027-W11,1200,Foxconn_CN
iPhone16,CN,2027-W12,1200,Foxconn_CN
iPhone16,CN,2027-W13,1200,Foxconn_CN
iPhone16,CN,2027-W14,1200,Foxconn_CN
iPhone16,CN,2027-W15,1200,Foxconn_CN
iPhone16,CN,2027-W16,1200,Foxconn_CN
iPhone16,CN,2027-W17,1200,Foxconn_CN
iPhone16,CN,2027-W18,1200,Foxconn_CN
iPhone16,CN,2027-W19,1200,Foxconn_CN
iPhone16,CN,2027-W20,1200,Foxconn_CN
iPhone16,CN,2027-W21,1200,Foxconn_CN
iPhone16,CN,2027-W22,1200,Foxconn_CN
iPhone16,CN,2027-W23,1200,Foxconn_CN
iPhone16,CN,2027-W24,1200,Foxconn_CN
iPhone16,CN,2027-W25,1200,Foxconn_CN
iPhone16,CN,2027-W26,1200,Foxconn_CN
iPhone16,CN,2027-W27,1200,Foxconn_CN
iPhone16,CN,2027-W28,1200,Foxconn_CN
iPhone16,CN,2027-W29,1200,Foxconn_CN
iPhone16,CN,2027-W30,1200,Foxconn_CN
iPhone16,CN,2027-W31,1200,Foxconn_CN
iPhone16,CN,2027-W32,1200,Foxconn_CN
iPhone16,CN,2027-W33,1200,Foxconn_CN
iPhone16,CN,2027-W34,1200,Foxconn_CN
iPhone16,CN,2027-W35,1200,Foxconn_CN
iPhone16,CN,2027-W36,1200,Foxconn_CN
iPhone16,CN,2027-W37,1200,Foxconn_CN
iPhone16,CN,2027-W38,1200,Foxconn_CN
iPhone16,CN,2027-W39,1200,Foxconn_CN
iPhone16,CN,2027-W40,1200,Foxconn_CN
iPhone16,CN,2027-W41,1200,Foxconn_CN
iPhone16,CN,2027-W42,1200,Foxconn_CN
iPhone16,CN,2027-W43,1200,Foxconn_CN
iPhone16,CN,2027-W44,1200,Foxconn_CN
iPhone16,CN,2027-W45,1200,Foxconn_CN
iPhone16,CN,2027-W46,1200,Foxconn_CN
iPhone16,CN,2027-W47,1200,Foxconn_CN
iPhone16,CN,2027-W48,1200,Foxconn_CN
iPhone16,CN,2027-W49,1200,Foxconn_CN
iPhone16,CN,2027-W50,1200,Foxconn_CN
iPhone16,CN,2027-W51,1200,Foxconn_CN
iPhone16,CN,2027-W52,1200,Foxconn_CN
iPhone15,CN,2027-W01,480,Foxconn_CN
iPhone15,CN,2027-W02,480,Foxconn_CN
iPhone15,CN,2027-W03,480,Foxconn_CN
iPhone15,CN,2027-W04,480,Foxconn_CN
iPhone15,CN,2027-W05,800,Foxconn_CN
iPhone15,CN,2027-W06,800,Foxconn_CN
iPhone15,CN,2027-W07,800,Foxconn_CN
iPhone15,CN,2027-W08,800,Foxconn_CN
iPhone15,CN,2027-W09,800,Foxconn_CN
iPhone15,CN,2027-W10,800,Foxconn_CN
iPhone15,CN,2027-W11,800,Foxconn_CN
iPhone15,CN,2027-W12,800,Foxconn_CN
iPhone15,CN,2027-W13,800,Foxconn_CN
iPhone15,CN,2027-W14,800,Foxconn_CN
iPhone15,CN,2027-W15,800,Foxconn_CN
iPhone15,CN,2027-W16,800,Foxconn_CN
iPhone15,CN,2027-W17,800,Foxconn_CN
iPhone15,CN,2027-W18,800,Foxconn_CN
iPhone15,CN,2027-W19,800,Foxconn_CN
iPhone15,CN,2027-W20,800,Foxconn_CN
iPhone15,CN,2027-W21,800,Foxconn_CN
iPhone15,CN,2027-W22,800,Foxconn_CN
iPhone15,CN,2027-W23,800,Foxconn_CN
iPhone15,CN,2027-W24,800,Foxconn_CN
iPhone15,CN,2027-W25,800,Foxconn_CN
iPhone15,CN,2027-W26,800,Foxconn_CN
iPhone15,CN,2027-W27,800,Foxconn_CN
iPhone15,CN,2027-W28,800,Foxconn_CN
iPhone15,CN,2027-W29,800,Foxconn_CN
iPhone15,CN,2027-W30,800,Foxconn_CN
iPhone15,CN,2027-W31,800,Foxconn_CN
iPhone15,CN,2027-W32,800,Foxconn_CN
iPhone15,CN,2027-W33,800,Foxconn_CN
iPhone15,CN,2027-W34,800,Foxconn_CN
iPhone15,CN,2027-W35,800,Foxconn_CN
iPhone15,CN,2027-W36,800,Foxconn_CN
iPhone15,CN,2027-W37,800,Foxconn_CN
iPhone15,CN,2027-W38,800,Foxconn_CN
iPhone15,CN,2027-W39,800,Foxconn_CN
iPhone15,CN,2027-W40,800,Foxconn_CN
iPhone15,CN,2027-W41,800,Foxconn_CN
iPhone15,CN,2027-W42,800,Foxconn_CN
iPhone15,CN,2027-W43,800,Foxconn_CN
iPhone15,CN,2027-W44,800,Foxconn_CN
iPhone15,CN,2027-W45,800,Foxconn_CN
iPhone15,CN,2027-W46,800,Foxconn_CN
iPhone15,CN,2027-W47,800,Foxconn_CN
iPhone15,CN,2027-W48,800,Foxconn_CN
iPhone15,CN,2027-W49,800,Foxconn_CN
iPhone15,CN,2027-W50,800,Foxconn_CN
iPhone15,CN,2027-W51,800,Foxconn_CN
iPhone15,CN,2027-W52,800,Foxconn_CN
